epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.12773,2.81982,31.9326,1.47346,0,0,0,0,2.50936,11.3486,0.95558,8.33e-06,8.33e-06,8.33e-06
2,4.79725,1.43196,122.106,0.77841,0,0,0,0,2.53196,11.3044,0.95625,2.47426e-05,2.47426e-05,2.47426e-05
3,5.41503,3.07408,107.768,1.15857,0,0,0,0,2.53074,11.2423,0.95356,4.08253e-05,4.08253e-05,4.08253e-05
4,6.03403,2.59287,25.7555,1.59225,0,0,0,0,2.55654,11.3798,0.95423,5.65782e-05,5.65782e-05,5.65782e-05
5,6.64583,2.21618,86.344,0.96518,0,0,0,0,2.56567,11.2969,0.95361,7.20012e-05,7.20012e-05,7.20012e-05
6,7.308,2.76427,11.518,1.28621,0,0,0,0,2.40856,14.0519,0.91137,8.70943e-05,8.70943e-05,8.70943e-05
7,8.21386,1.39646,25.2331,0.81278,0.05,0.125,0.0375,0.015,2.15116,24.6749,0.88848,0.000101858,0.000101858,0.000101858
8,9.1307,2.27159,10.2866,1.14814,0.05,0.125,0.04369,0.03058,1.87859,24.3999,0.88275,0.000116291,0.000116291,0.000116291
9,10.0465,2.38243,3.82047,1.10244,0.04167,0.125,0.03537,0.0283,1.68925,17.0526,0.88601,0.000130394,0.000130394,0.000130394
10,10.8582,2.83562,18.8969,1.04708,0.02429,0.125,0.03055,0.02444,1.67334,11.574,0.89915,0.000144168,0.000144168,0.000144168
11,11.6747,2.02302,16.12,0.85648,0.05637,0.25,0.05975,0.0478,1.587,9.4847,0.89351,0.000157612,0.000157612,0.000157612
12,12.5665,2.74848,5.8431,1.24466,0.06162,0.125,0.06609,0.05444,1.59122,8.34907,0.88578,0.000170726,0.000170726,0.000170726
13,13.4294,1.85254,1.75586,1.12757,0.11535,0.375,0.28542,0.18638,1.81201,7.64478,0.88411,0.00018351,0.00018351,0.00018351
14,14.3007,2.05091,3.6455,1.01061,0.71251,0.25,0.30456,0.17747,1.95706,7.09935,0.8794,0.000195964,0.000195964,0.000195964
15,15.1315,1.43168,4.22487,0.94139,0.84217,0.25,0.31516,0.175,2.00848,6.7429,0.8743,0.000208088,0.000208088,0.000208088
16,15.9618,1.74374,4.52819,0.98314,0.85668,0.25,0.32747,0.16227,2.0467,6.40515,0.86581,0.000219883,0.000219883,0.000219883
17,16.8035,1.85853,6.06908,0.92804,0.83096,0.25,0.31882,0.15644,2.01928,5.69007,0.86175,0.000231347,0.000231347,0.000231347
18,17.6155,2.13044,2.26286,1.22304,0.5244,0.375,0.29954,0.18351,1.93848,5.38498,0.8651,0.000242482,0.000242482,0.000242482
19,18.4281,2.53462,6.34546,0.92004,0.68213,0.25,0.24881,0.18476,1.9985,5.926,0.87271,0.000253287,0.000253287,0.000253287
20,19.2374,2.31,3.42908,1.03747,0.09921,0.375,0.21092,0.15904,2.11592,6.72777,0.88428,0.000263762,0.000263762,0.000263762
21,20.1396,1.7859,4.99966,0.92948,0.08712,0.375,0.20501,0.15314,2.21475,7.64422,0.89323,0.000273907,0.000273907,0.000273907
22,20.9693,2.00627,2.84862,0.951,0.14833,0.375,0.20504,0.15355,2.13104,8.00094,0.87992,0.000283722,0.000283722,0.000283722
23,21.8048,2.28446,2.53022,1.03997,0.53944,0.25,0.32923,0.20082,2.0085,6.66442,0.86707,0.000293208,0.000293208,0.000293208
24,22.6902,1.65519,2.42736,0.99176,0.58571,0.25,0.32593,0.13896,2.09372,5.83631,0.87464,0.000302363,0.000302363,0.000302363
25,23.493,2.01885,3.24158,0.9241,0.58762,0.25,0.33421,0.1434,2.06569,8.6147,0.87223,0.000311189,0.000311189,0.000311189
26,24.3206,1.55947,2.44142,0.9898,0.48511,0.25,0.27662,0.14615,2.05936,10.3979,0.87463,0.000319685,0.000319685,0.000319685
27,25.1506,1.39917,2.19367,0.93463,0.58511,0.25,0.29825,0.12786,2.00737,4.23897,0.8676,0.00032785,0.00032785,0.00032785
28,25.9602,2.0212,2.11544,1.13314,0.58511,0.25,0.29825,0.12786,2.00737,4.23897,0.8676,0.000335687,0.000335687,0.000335687
29,26.7776,1.75746,1.16811,0.96297,0.57561,0.25,0.31193,0.13487,1.93606,5.38947,0.85612,0.000343193,0.000343193,0.000343193
30,27.5956,2.08475,3.25292,1.00929,0.82177,0.25,0.2512,0.13017,1.92185,5.29474,0.84411,0.000350369,0.000350369,0.000350369
31,28.4189,1.55506,1.57008,0.94265,0.82177,0.25,0.2512,0.13017,1.92185,5.29474,0.84411,0.000357215,0.000357215,0.000357215
32,29.2362,1.589,2.53974,0.87484,0.72612,0.25,0.23307,0.12314,1.86376,4.34457,0.83322,0.000363732,0.000363732,0.000363732
33,30.0922,1.71343,1.2781,1.0691,0.70823,0.25,0.21558,0.10479,1.84313,4.36574,0.83689,0.000369919,0.000369919,0.000369919
34,30.8815,1.78033,1.6377,0.98079,0.70823,0.25,0.21558,0.10479,1.84313,4.36574,0.83689,0.000375775,0.000375775,0.000375775
35,31.707,1.68769,1.18205,1.05569,0.68928,0.25,0.2289,0.1274,1.97409,3.63874,0.85622,0.000381302,0.000381302,0.000381302
36,32.5361,2.60513,4.38859,1.04924,0.74068,0.125,0.23812,0.12323,2.14954,3.5601,0.88191,0.0003865,0.0003865,0.0003865
37,33.396,1.38103,4.34687,0.87309,0.74068,0.125,0.23812,0.12323,2.14954,3.5601,0.88191,0.000391367,0.000391367,0.000391367
38,34.2206,1.63377,1.06973,0.96831,0.7402,0.125,0.26814,0.12788,2.17976,3.60218,0.90039,0.000395904,0.000395904,0.000395904
39,35.0382,1.7266,1.73693,0.89013,0.73976,0.125,0.33958,0.17076,2.16676,3.54251,0.90744,0.000400112,0.000400112,0.000400112
40,35.8336,1.40355,0.95099,0.91992,0.73976,0.125,0.33958,0.17076,2.16676,3.54251,0.90744,0.000403989,0.000403989,0.000403989
41,36.6229,1.79275,1.07601,1.12415,0.74001,0.125,0.25948,0.14057,2.03892,3.3567,0.89591,0.000407537,0.000407537,0.000407537
42,37.4451,1.50641,1.08846,0.98655,0.74095,0.125,0.2575,0.14644,1.97029,3.20871,0.88472,0.000410755,0.000410755,0.000410755
